Time	Site	Taxon	NISP	Source
Developmental	LA_109129	Passerines	0	Brown_1999
Developmental	LA_109129	Rodents	79	Brown_1999
Developmental	LA_57214_Meade_Avenue	Artios	2	Brown_and_Brown_1994
Developmental	LA_57214_Meade_Avenue	Rabbits	27	Brown_and_Brown_1994
Developmental	LA_57214_Meade_Avenue	Turkeys	2	Brown_and_Brown_1994
Developmental	LA_57214_Meade_Avenue	Fishes	0	Brown_and_Brown_1994
Developmental	LA_57214_Meade_Avenue	Raptors	0	Brown_and_Brown_1994
Developmental	LA_57214_Meade_Avenue	Passerines	1	Brown_and_Brown_1994
Developmental	LA_57214_Meade_Avenue	Rodents	14	Brown_and_Brown_1994
Developmental	LA_88334_Bravo_Pueblo	Artios	3	Brown_and_Brown_1994
Developmental	LA_88334_Bravo_Pueblo	Rabbits	514	Brown_and_Brown_1994
Developmental	LA_88334_Bravo_Pueblo	Turkeys	0	Brown_and_Brown_1994
Developmental	LA_88334_Bravo_Pueblo	Fishes	0	Brown_and_Brown_1994
Developmental	LA_88334_Bravo_Pueblo	Raptors	0	Brown_and_Brown_1994
Developmental	LA_88334_Bravo_Pueblo	Passerines	5	Brown_and_Brown_1994
Developmental	LA_88334_Bravo_Pueblo	Rodents	87	Brown_and_Brown_1994
Developmental	Cerro_de_Los_Lunas	Artios	3	Wands_2009
Developmental	Cerro_de_Los_Lunas	Rabbits	256	Wands_2009
Developmental	Cerro_de_Los_Lunas	Turkeys	1	Wands_2009
Developmental	Cerro_de_Los_Lunas	Fishes	0	Wands_2009
Developmental	Cerro_de_Los_Lunas	Raptors	0	Wands_2009
Developmental	Cerro_de_Los_Lunas	Passerines	0	Wands_2009
Developmental	Cerro_de_Los_Lunas	Rodents	11	Wands_2009
Developmental	Montano_Pueblo_Complex	Artios	6	Duncan_2010
Developmental	Montano_Pueblo_Complex	Rabbits	11	Duncan_2010
Developmental	Montano_Pueblo_Complex	Turkeys	0	Duncan_2010
Developmental	Montano_Pueblo_Complex	Fishes	0	Duncan_2010
Developmental	Montano_Pueblo_Complex	Raptors	0	Duncan_2010
Developmental	Montano_Pueblo_Complex	Passerines	0	Duncan_2010
Developmental	Montano_Pueblo_Complex	Rodents	2	Duncan_2010
