Location	Date	Species	TL	Weight
Elephant_Butte	10/27/2014	Buffalo	633	3400
Elephant_Butte	11/8/2011	Buffalo	638	4376
Elephant_Butte	11/8/2011	Buffalo	639	3503
Elephant_Butte	10/27/2014	Buffalo	640	3650
Elephant_Butte	10/27/2014	Buffalo	646	3950
Caballo_Lake	11/28/2017	Buffalo	649	4804
Elephant_Butte	10/27/2014	Buffalo	654	NA
Caballo_Lake	11/28/2017	Buffalo	655	4934
Elephant_Butte	10/27/2014	Buffalo	656	4042
Caballo_Lake	11/28/2017	Buffalo	660	4739
Elephant_Butte	10/27/2014	Buffalo	660	NA
Elephant_Butte	10/27/2014	Buffalo	660	5035
Elephant_Butte	11/8/2011	Buffalo	674	4525
Elephant_Butte	10/27/2014	Buffalo	675	4960
Caballo_Lake	11/28/2017	Buffalo	679	4403
Elephant_Butte	10/27/2014	Buffalo	680	4700
Caballo_Lake	11/28/2017	Buffalo	681	4469
Elephant_Butte	10/27/2014	Buffalo	685	4173
Elephant_Butte	10/27/2014	Buffalo	685	4640
Elephant_Butte	10/27/2014	Buffalo	685	4500
Elephant_Butte	10/27/2014	Buffalo	693	NA
Elephant_Butte	10/27/2014	Buffalo	695	4535
Elephant_Butte	11/8/2011	Buffalo	695	4745
Elephant_Butte	10/27/2014	Buffalo	697	NA
Elephant_Butte	10/27/2014	Buffalo	702	5616
Elephant_Butte	10/27/2014	Buffalo	705	4356
Elephant_Butte	10/27/2014	Buffalo	710	5493
Elephant_Butte	11/8/2011	Buffalo	718	5871
Elephant_Butte	11/8/2011	Buffalo	720	5899
Elephant_Butte	10/27/2014	Buffalo	725	6400
Caballo_Lake	11/28/2017	Buffalo	731	6746
Elephant_Butte	11/8/2011	Buffalo	734	6800
Elephant_Butte	10/27/2014	Buffalo	744	6758
Caballo_Lake	11/28/2017	Buffalo	745	6200
Elephant_Butte	10/27/2014	Buffalo	754	6180
Caballo_Lake	11/28/2017	Buffalo	780	7942
Caballo_Lake	11/28/2017	Buffalo	794	NA
Caballo_Lake	11/28/2017	Buffalo	795	6957
Elephant_Butte	10/27/2014	Buffalo	814	7555
Elephant_Butte	11/8/2011	Buffalo	900	9700
Caballo_Lake	11/28/2017	Buffalo	915	NA
Elephant_Butte	11/8/2011	Buffalo	945	18597
